T_C_O_6,Similarly brief description  can be generated
T_C_O_7,Similarly brief description  can be generated
T_C_F_0,Similarly brief description  can be generated
T_C_F_1,Similarly brief description  can be generated
T_C_F_2,Similarly brief description  can be generated
T_C_F_3,Similarly brief description  can be generated
T_C_F_4,Similarly brief description  can be generated
T_C_F_5,Similarly brief description  can be generated
T_C_F_6,Similarly brief description  can be generated
T_C_F_7,Similarly brief description  can be generated
T_C_S_0,Similarly brief description  can be generated
T_C_S_1,Similarly brief description  can be generated
T_C_S_2,Similarly brief description  can be generated
T_C_S_3,Similarly brief description  can be generated
T_C_S_4,Similarly brief description  can be generated
T_C_S_5,Similarly brief description  can be generated
T_C_S_6,Similarly brief description  can be generated
T_C_S_7,Similarly brief description  can be generated
T_C_Cl_0,Similarly brief description  can be generated
T_C_Cl_1,Similarly brief description  can be generated
T_C_Cl_2,Similarly brief description  can be generated
T_C_Cl_3,Similarly brief description  can be generated
T_C_Cl_4,Similarly brief description  can be generated
T_C_Cl_5,Similarly brief description  can be generated
T_C_Cl_6,Similarly brief description  can be generated
T_C_Cl_7,Similarly brief description  can be generated
T_N_N_0,Similarly brief description  can be generated
T_N_N_1,Similarly brief description  can be generated
T_N_N_2,Similarly brief description  can be generated
T_N_N_3,Similarly brief description  can be generated
T_N_N_4,Similarly brief description  can be generated
T_N_N_5,This is the count of number of Nitrogen atoms (single double or triple bonded) separated from any other Nitrogen atom (single double or triple bonded) by 5 bonds in a molecule.
T_N_N_6,Similarly brief description  can be generated
T_N_N_7,Similarly brief description  can be generated
T_N_O_0,Similarly brief description  can be generated
T_N_O_1,Similarly brief description  can be generated
T_N_O_2,Similarly brief description  can be generated
T_N_O_3,Similarly brief description  can be generated
T_N_O_4,Similarly brief description  can be generated
T_N_O_5,Similarly brief description  can be generated
T_N_O_6,Similarly brief description  can be generated
T_N_O_7,Similarly brief description  can be generated
T_N_F_0,Similarly brief description  can be generated
T_N_F_1,Similarly brief description  can be generated
T_N_F_2,Similarly brief description  can be generated
T_N_F_3,Similarly brief description  can be generated
T_N_F_4,Similarly brief description  can be generated
T_N_F_5,Similarly brief description  can be generated
T_N_F_6,Similarly brief description  can be generated
T_N_F_7,Similarly brief description  can be generated
T_N_S_0,Similarly brief description  can be generated
T_N_S_1,Similarly brief description  can be generated
T_N_S_2,Similarly brief description  can be generated
T_N_S_3,Similarly brief description  can be generated
T_N_S_4,Similarly brief description  can be generated
T_N_S_5,Similarly brief description  can be generated
T_N_S_6,Similarly brief description  can be generated
T_N_S_7,Similarly brief description  can be generated
T_N_Cl_0,Similarly brief description  can be generated
T_N_Cl_1,Similarly brief description  can be generated
T_N_Cl_2,Similarly brief description  can be generated
T_N_Cl_3,Similarly brief description  can be generated
T_N_Cl_4,Similarly brief description  can be generated
T_N_Cl_5,Similarly brief description  can be generated
T_N_Cl_6,Similarly brief description  can be generated
T_N_Cl_7,Similarly brief description  can be generated
T_O_O_0,Similarly brief description  can be generated
T_O_O_1,Similarly brief description  can be generated
T_O_O_2,Similarly brief description  can be generated
T_O_O_3,Similarly brief description  can be generated
T_O_O_4,Similarly brief description  can be generated
T_O_O_5,Similarly brief description  can be generated
T_O_O_6,Similarly brief description  can be generated
T_O_O_7,Similarly brief description  can be generated
T_O_F_0,Similarly brief description  can be generated
T_O_F_1,Similarly brief description  can be generated
T_O_F_2,Similarly brief description  can be generated
T_O_F_3,Similarly brief description  can be generated
T_O_F_4,Similarly brief description  can be generated
T_O_F_5,Similarly brief description  can be generated
T_O_F_6,Similarly brief description  can be generated
T_O_F_7,Similarly brief description  can be generated
T_O_S_0,Similarly brief description  can be generated
T_O_S_1,Similarly brief description  can be generated
T_O_S_2,Similarly brief description  can be generated
T_O_S_3,Similarly brief description  can be generated
T_O_S_4,Similarly brief description  can be generated
T_O_S_5,Similarly brief description  can be generated
T_O_S_6,Similarly brief description  can be generated
T_O_S_7,Similarly brief description  can be generated
T_O_Cl_0,Similarly brief description  can be generated
T_O_Cl_1,Similarly brief description  can be generated
T_O_Cl_2,Similarly brief description  can be generated
T_O_Cl_3,Similarly brief description  can be generated
T_O_Cl_4,Similarly brief description  can be generated
T_O_Cl_5,This is the count of number of Oxygen atoms (single double or triple bonded) separated from Chlorine atom by 5 bond distance in a molecule.
T_O_Cl_6,Similarly brief description  can be generated
T_O_Cl_7,Similarly brief description  can be generated
T_F_F_0,Similarly brief description  can be generated
T_F_F_1,Similarly brief description  can be generated
T_F_F_2,Similarly brief description  can be generated
T_F_F_3,Similarly brief description  can be generated
T_F_F_4,Similarly brief description  can be generated
T_F_F_5,Similarly brief description  can be generated
T_F_F_6,Similarly brief description  can be generated
T_F_F_7,Similarly brief description  can be generated
T_F_S_0,Similarly brief description  can be generated
T_F_S_1,Similarly brief description  can be generated
T_F_S_2,Similarly brief description  can be generated
T_F_S_3,Similarly brief description  can be generated
T_F_S_4,Similarly brief description  can be generated
T_F_S_5,Similarly brief description  can be generated
T_F_S_6,Similarly brief description  can be generated
T_F_S_7,Similarly brief description  can be generated
T_F_Cl_0,Similarly brief description  can be generated
T_F_Cl_1,Similarly brief description  can be generated
T_F_Cl_2,Similarly brief description  can be generated
T_F_Cl_3,Similarly brief description  can be generated
T_F_Cl_4,Similarly brief description  can be generated
T_F_Cl_5,Similarly brief description  can be generated
T_F_Cl_6,Similarly brief description  can be generated
T_F_Cl_7,Similarly brief description  can be generated
T_S_S_0,Similarly brief description  can be generated
T_S_S_1,Similarly brief description  can be generated
T_S_S_2,Similarly brief description  can be generated
T_S_S_3,Similarly brief description  can be generated
T_S_S_4,Similarly brief description  can be generated
T_S_S_5,Similarly brief description  can be generated
T_S_S_6,Similarly brief description  can be generated
T_S_S_7,Similarly brief description  can be generated
T_S_Cl_0,Similarly brief description  can be generated
T_S_Cl_1,Similarly brief description  can be generated
T_S_Cl_2,Similarly brief description  can be generated
T_S_Cl_3,Similarly brief description  can be generated
T_S_Cl_4,Similarly brief description  can be generated
T_S_Cl_5,Similarly brief description  can be generated
T_S_Cl_6,Similarly brief description  can be generated
T_S_Cl_7,Similarly brief description  can be generated
T_Cl_Cl_0,Similarly brief description  can be generated
T_Cl_Cl_1,Similarly brief description  can be generated
T_Cl_Cl_2,Similarly brief description  can be generated
T_Cl_Cl_3,Similarly brief description  can be generated
T_Cl_Cl_4,Similarly brief description  can be generated
T_Cl_Cl_5,Similarly brief description  can be generated
T_Cl_Cl_6,Similarly brief description  can be generated
T_Cl_Cl_7,Similarly brief description  can be generated
